id,name,city,country,iata_code,icao_code,latitude,longitude,altitude,timezone,dst,tz_format,type,source
11026,Holyhead Ferry Port,Holyhead,United Kingdom,NULL,NULL,53.30765,-4.63124,0,0,E,NULL,port,User
11028,Singapore-Tanah Merah Ferry Terminal,Singapore,Singapore,NULL,NULL,1.3299,103.989,0,8,N,NULL,port,User
11029,Batam-Nongsapura Ferry Terminal,Batam,Indonesia,NULL,NULL,1.1888,104.0946,0,7,N,NULL,port,User
11126,Kowloon Macau Ferry Terminal,Kowloon,Hong Kong,NULL,NULL,22.300559,114.1655773,0,8,U,NULL,port,User
11147,Horseshoe Bay Ferry Terminal,Horseshoe Bay,Canada,NULL,HORS,49.37403,-123.27281,0,-7,A,NULL,port,User
11149,Prince Rupert Railway Station and Ferry Terminal,Prince Rupert,Canada,XDW,NULL,54.295833,-130.351944,0,-7,A,NULL,port,User
11150,Prince Rupert Ferry Terminal,Prince Rupert,Canada,NULL,RUPR,54.29589,-130.35135,0,-7,A,NULL,port,User
11151,Port Hardy Ferry Terminal,Port Hardy,Canada,NULL,HARD,50.72553,-127.45678,0,-7,A,NULL,port,User
11152,Depature Bay Ferry Terminal,Nanaimo,Canada,NULL,NDEP,49.19305,-123.95427,0,-7,A,NULL,port,User
11184,Saint Johns Sea Port on Antigua,Saint Johns,Antigua and Barbuda,NULL,JOHN,17.120521,-61.846624,0,-4,A,NULL,port,User
11185,Pointe-a-Pitre Sea Port,Pointe-a-Pitre,Guadeloupe,NULL,POIN,16.237022,-61.539202,0,-4,A,NULL,port,User
11186,Scarborough Sea Port,Scarborough,Trinidad and Tobago,NULL,NULL,11.182056,-60.736754,0,-4,A,NULL,port,User
11187,Willemstad Sea Port,Willemstad,Netherlands Antilles,NULL,WILL,12.10642,-68.936027,0,-4,A,NULL,port,User
11188,Oranjestad Sea Port,Oranjestad,Aruba,NULL,ORAN,12.519445,-70.042634,0,-4,A,NULL,port,User
11189,La Romana Sea Port,La Romana,Dominican Republic,NULL,LARO,18.416363,-68.959089,0,-4,A,NULL,port,User
11305,Mazatlan Port Cruise Terminal,Mazatlan,Mexico,NULL,NULL,23.1932868,-106.4173414,0,7,U,NULL,port,User
11306,Cruise Port,Topolobampo,Mexico,NULL,NULL,25.583131,-109.0660578,0,-7,U,NULL,port,User
11309,Quebec City Cruise Port,Quebec,Canada,NULL,NULL,46.8169262,-71.2026932,0,-5,A,NULL,port,User
11391,Ludington Ferry Terminal,Ludington,United States,NULL,NULL,43.9491748,-86.4532907,0,-5,A,NULL,port,User
11392,Manitowoc Ferry Terminal,Manitowoc,United States,NULL,NULL,44.0897108,-87.6535447,0,-6,A,NULL,port,User
11627,Fuyong Ferry Terminal,Shenzhen,China,NULL,NULL,22.605278,113.809167,0,8,U,NULL,port,User
11650,Osaka Port International Ferry Terminal,Osaka,Japan,NULL,NULL,34.6384568,135.4296344,10,9,N,NULL,port,User
11651,Hakata Port International Terminal,Fukuoka,Japan,NULL,NULL,33.6085547,130.3979042,13,9,N,NULL,port,User
